iter	Passed	Remaining
672	1385	673
673	1387	671
674	1389	668
675	1390	666
676	1392	664
677	1394	662
678	1396	660
679	1399	658
680	1401	656
681	1403	654
682	1405	652
683	1406	649
684	1408	647
685	1410	645
686	1412	643
687	1416	642
688	1418	640
689	1421	638
690	1423	636
691	1426	634
692	1428	632
693	1432	631
694	1433	629
695	1435	627
696	1437	624
697	1439	622
698	1440	620
699	1442	618
700	1444	616
701	1447	614
702	1448	612
703	1450	610
704	1452	607
705	1454	605
706	1456	603
707	1458	601
708	1459	599
709	1462	597
710	1464	595
711	1466	593
712	1467	590
713	1469	588
714	1471	586
715	1472	584
716	1474	582
717	1476	579
718	1479	578
719	1481	576
720	1484	574
721	1486	572
722	1488	570
723	1491	568
724	1494	566
725	1496	564
726	1498	562
727	1499	560
728	1501	558
729	1503	556
730	1505	553
731	1506	551
732	1509	549
733	1511	547
734	1513	545
735	1514	543
736	1516	541
737	1518	539
738	1520	536
739	1522	534
740	1523	532
741	1526	530
742	1528	528
743	1530	526
744	1532	524
745	1533	522
746	1535	520
747	1537	518
748	1539	515
749	1541	513
750	1543	511
751	1545	509
752	1547	507
753	1548	505
754	1550	503
755	1552	501
756	1554	498
757	1555	496
758	1558	494
759	1559	492
760	1561	490
761	1563	488
762	1565	486
763	1567	484
764	1568	481
765	1570	479
766	1572	477
767	1574	475
768	1576	473
769	1578	471
770	1580	469
771	1581	467
772	1583	465
773	1585	462
774	1587	460
775	1589	458
776	1592	457
777	1594	455
778	1596	452
779	1598	450
780	1600	448
781	1602	446
782	1603	444
783	1606	442
784	1607	440
785	1610	438
786	1611	436
787	1613	434
788	1615	432
789	1617	429
790	1618	427
791	1621	425
792	1623	423
793	1625	421
794	1627	419
795	1629	417
796	1630	415
797	1632	413
798	1634	411
799	1636	409
800	1638	407
801	1640	404
802	1642	402
803	1643	400
804	1645	398
805	1648	396
806	1650	394
807	1653	393
808	1656	391
809	1659	389
810	1660	387
811	1662	385
812	1664	382
813	1666	380
814	1668	378
815	1670	376
816	1672	374
817	1674	372
818	1676	370
819	1677	368
820	1680	366
821	1682	364
822	1684	362
823	1686	360
824	1688	358
825	1690	356
826	1691	353
827	1694	351
828	1696	349
829	1697	347
830	1700	345
831	1702	343
832	1703	341
833	1705	339
834	1707	337
835	1709	335
836	1711	333
837	1712	331
838	1714	329
839	1717	327
840	1719	325
841	1721	322
842	1722	320
843	1724	318
844	1726	316
845	1728	314
846	1730	312
847	1732	310
848	1734	308
849	1736	306
850	1738	304
851	1740	302
852	1742	300
853	1743	298
854	1745	296
855	1748	294
856	1750	292
857	1752	289
858	1753	287
859	1755	285
860	1757	283
861	1759	281
862	1761	279
863	1763	277
864	1765	275
865	1767	273
866	1769	271
867	1771	269
868	1772	267
869	1774	265
870	1776	263
871	1778	260
872	1781	259
873	1783	257
874	1785	255
875	1787	252
876	1788	250
877	1790	248
878	1792	246
879	1794	244
880	1797	242
881	1799	240
882	1801	238
883	1802	236
884	1804	234
885	1806	232
886	1808	230
887	1810	228
888	1813	226
889	1815	224
890	1816	222
891	1818	220
892	1820	218
893	1822	216
894	1824	213
895	1825	211
896	1828	210
897	1830	207
898	1832	205
899	1834	203
900	1836	201
901	1838	199
902	1840	197
903	1841	195
904	1844	193
905	1846	191
906	1848	189
907	1850	187
908	1851	185
909	1853	183
910	1855	181
911	1857	179
912	1860	177
913	1861	175
914	1863	173
915	1865	171
916	1867	169
917	1869	166
918	1870	164
919	1873	162
920	1875	160
921	1877	158
922	1879	156
923	1881	154
924	1883	152
925	1885	150
926	1886	148
927	1888	146
928	1891	144
929	1893	142
930	1896	140
931	1898	138
932	1900	136
933	1902	134
934	1905	132
935	1908	130
936	1910	128
937	1912	126
938	1914	124
939	1917	122
940	1919	120
941	1922	118
942	1925	116
943	1927	114
944	1930	112
945	1932	110
946	1935	108
947	1937	106
948	1941	104
949	1943	102
950	1944	100
951	1946	98
952	1948	96
953	1950	94
954	1952	91
955	1955	89
956	1956	87
957	1958	85
958	1960	83
959	1962	81
960	1965	79
961	1967	77
962	1970	75
963	1972	73
964	1975	71
965	1977	69
966	1980	67
967	1982	65
968	1984	63
969	1986	61
970	1988	59
971	1990	57
972	1992	55
973	1993	53
974	1995	51
975	1997	49
976	1999	47
977	2001	45
978	2003	42
979	2005	40
980	2007	38
981	2009	36
982	2011	34
983	2012	32
984	2014	30
985	2016	28
986	2019	26
987	2021	24
988	2022	22
989	2025	20
990	2027	18
991	2028	16
992	2030	14
993	2032	12
994	2035	10
995	2038	8
996	2040	6
997	2042	4
998	2044	2
999	2045	0
